FileName,iou_score
Yk1_O1SvfRs_000046_000056_1.5_5.5,0.00038882144
iC1jyQEyhWw_000030_000040_4.0_8.5,0.0030525671
E_dwrbgSKo8_000070_000080_6.0_9.0,0.022316894
MSDd1LxNV-Q_000010_000020_3.0_6.0,0.013078996
AHE-a1k3mxE_000140_000150_5.0_8.0,0.0068732435
CvN_oC0AGvM_000340_000350_1.0_4.0,0.00057981815
LMrVjK1otdM_000131_000141_2.0_6.0,0.0037312347
UfAH9j7mCbA_000000_000010_6.0_9.5,0.03885803
Sf0aZczIZVU_000040_000050_0.5_9.5,0.050474927
tdC33AXcezQ_000007_000017_1.0_7.0,0.004566198
j1NgLtsilag_000010_000020_0.0_4.0,0.0018031965
UR0l-ggYOfg_000041_000051_6.0_10.0,0.0034286825
5kXRSxMRZGw_000043_000053_1.5_6.5,0.0057402872
7FLyXxWy7Mo_000067_000077_0.0_5.5,0.010911122
-L2ku2l9i5M_000020_000030_0.0_4.5,0.002801923
LSA8ZgjlFJ0_000080_000090_0.0_3.5,0.003784231
uxZ-S4brnRs_000047_000057_0.0_9.0,0.05386569
pC24FU_7YNs_000083_000093_0.0_3.5,0.004640683
ChQBX_ySnbM_000000_000010_1.0_4.0,0.0040859436
rCsTXFZOSvA_000078_000088_0.0_2.1,0.0087119015
VpzLTe_OU1Y_000029_000039_5.0_8.0,0.007230902
ItDPycjEE5s_000036_000046_2.5_6.0,0.0033751435
EN5AwM98F5A_000010_000020_1.0_5.0,0.0016463891
Ey7CIPAeqsY_000030_000040_3.5_6.5,0.005119053
G-KeLQQ-84k_000030_000040_5.5_9.5,0.014056037
RH7IVn9jk6k_000024_000034_0.0_5.0,0.012309027
JwJAh2X6btc_000010_000020_1.5_6.0,0.0018429481
F2eQfy5SN3A_000225_000235_0.0_3.0,0.0017024947
HLtnf4PKGFs_000030_000040_2.5_4.6,0.0045288466
U4RRMpX2wCU_000010_000020_0.0_3.0,0.012211926
VDRFEN6GQTU_000106_000116_4.5_8.0,0.0012210134
8RQReyEWDdA_000136_000146_6.5_8.6,0.0032235438
3gaT_BhYSIY_000070_000080_0.0_10.0,0.015701106
t6ptMKWbhew_000054_000064_4.0_7.0,0.0043677394
L_ucgLAe-TA_000436_000446_0.5_3.0,0.040350236
fPCwL7tr72A_000001_000011_2.5_7.5,0.0022561455
_MDHC7_a63w_000120_000130_5.0_9.0,0.0008520027
p0Y5-_l4D-s_000018_000028_0.0_3.0,0.002492492
LxMz0jCETIk_000030_000040_2.5_5.5,0.011464812
S5a0hCfl0fY_000060_000070_1.0_4.5,0.016495649
r1JpF0ovMFA_000034_000044_2.5_6.0,0.0051735765
WGhLHnIrO98_000065_000075_6.5_9.5,0.0012407257
I0uqJiuZGcI_000087_000097_0.0_5.5,0.006970645
zcX7z-03aLM_000006_000016_2.5_6.0,0.013946901
a5fNyewhE8k_000030_000040_1.0_4.0,0.0040687243
KA0aPcQLEps_000027_000037_2.5_5.5,0.003942864
AiKYxZSTvrE_000030_000040_0.0_3.0,0.00215209
5nAvo9b2_SY_000020_000030_5.0_10.0,0.004043385
l0drdxSOlCM_000020_000030_3.0_6.0,0.0135098
01vFr9LE3Vo_000518_000528_2.0_6.5,0.010216878
F3t3NRFYM_Q_000010_000020_4.0_7.0,0.0006860479
jPa8ADhmpbk_000043_000053_2.5_5.0,0.003000518
9alAw7uN_1Q_000106_000116_0.0_3.0,0.00022567429
XyV6vd8FxH4_000048_000058_3.0_6.5,0.0058680987
RmlRtk4xbE8_000443_000453_0.5_8.0,0.009631559
Sbo4kYSnOuk_000010_000020_6.0_9.0,0.007195743
